Time;Emission_rate_g1;Emission_rate_g2;Emission_rate_g3;Emission_rate_g4;Emission_rate_g5;Emission_rate_g6;Emission_rate_g7;Emission_rate_g8;Emission_rate_g9;Emission_rate_g10;Emission_rate_g11;Emission_rate_g12;Emission_rate_g13;Emission_rate_g14;Emission_rate_g15;Emission_rate_g16;Emission_rate_g17;Emission_rate_g18;Emission_rate_g19;Emission_rate_g20;Emission_rate_g21;Emission_rate_g22
1-1-2020;0;0.7928388;0.8315131;0.8523009;0.8741551;0.3698187;0.3766666;0.3837738;0.3911543;0.4068002;0.4151023;0.4237501;0.4307112;0.4307112;0.4307112;0.4421745;0.483;0.521539;0.5352636;0.5650004;0.6313337;0
2-1-2020;0;0.861426793;0.809684213;0.782167799;0.844549272;0.359164716;0.374699311;0.415962955;0.39715851;0.411473682;0.455249743;0.411968337;0.401215004;0.40931408;0.461017175;0.441702534;0.493364261;0.407270522;0.532988586;0.554500567;0.682712883;0
3-1-2020;0;0.807694375;0.810170152;0.673460986;0.779933168;0.353515867;0.373408302;0.423727675;0.383213025;0.414401738;0.409628078;0.443103649;0.43514447;0.513277203;0.461840304;0.43873862;0.49350439;0.788496977;0.553487192;0.546611947;0.644785473;0
4-1-2020;0;0.727118014;0.861594309;0.696944864;0.8747029;0.370861166;0.361448302;0.38321347;0.379778404;0.4562414;0.443678102;0.405490962;0.441955615;0.44241185;0.414946045;0.457391053;0.479757825;0.557086447;0.507609168;0.5675879;0.612689688;0
5-1-2020;0;0.739964863;0.830855686;0.92685362;1.025240257;0.412564096;0.350519126;0.421778832;0.40505516;0.431696907;0.415887031;0.43200697;0.436133876;0.469564405;0.410266998;0.438884316;0.453410347;0.38582706;0.53041334;0.54978236;0.643443652;0
6-1-2020;0;0.767422143;0.827885216;0.954995345;0.933211177;0.376441131;0.368665474;0.316775855;0.387206743;0.39615948;0.473983731;0.437911919;0.464288615;0.429910209;0.386985559;0.450187783;0.500035144;0.380768809;0.5880999;0.553261457;0.596151545;0
7-1-2020;0;0.809382905;0.837896298;0.783905998;0.869058053;0.308864603;0.37996223;0.428308541;0.383663545;0.412313582;0.375394219;0.419363768;0.434338997;0.352627201;0.445965471;0.442461746;0.494790402;0.713721188;0.5677399;0.537132482;0.635943161;0
8-1-2020;0;0.808561096;0.807344993;0.972718238;0.957191162;0.363189844;0.377632867;0.376528852;0.385115284;0.475452116;0.392121073;0.399712319;0.417810627;0.466561419;0.438520669;0.441203851;0.512424622;0.536122547;0.524457304;0.59331767;0.632992644;0
9-1-2020;0;0.831671988;0.789669195;0.874233131;0.91116152;0.372014567;0.344065514;0.338598445;0.396524344;0.351800898;0.42954759;0.432672778;0.423180089;0.377431583;0.376564873;0.448104433;0.492556475;0.485881817;0.57269391;0.599329457;0.615631378;0
10-1-2020;0;0.813684068;0.831887805;0.997662034;0.841300521;0.347395769;0.37100851;0.383801153;0.390730836;0.405715355;0.366780915;0.42212199;0.420720118;0.414395844;0.423267224;0.443315426;0.518077386;0.591127772;0.499512101;0.5619725;0.704249896;0
11-1-2020;0;0.733010867;0.850267805;0.986387438;0.852675808;0.367818876;0.360638889;0.450858802;0.399974541;0.413589399;0.457668384;0.412547673;0.40889271;0.404293667;0.436312379;0.434561221;0.456334575;0.606960123;0.513181944;0.535336762;0.672952194;0
